,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
323,Ajdabiya,1,LY,1587698210,77,30.76,20.23,62.83,17.56
324,Bourail,11,NC,1587698211,55,-21.57,165.48,82.06,4.54
325,Margate,100,GB,1587698211,88,51.38,1.39,48.0,1.99
326,Carutapera,100,BR,1587698211,87,-1.2,-46.02,77.72,7.34
327,Le Port,40,RE,1587698211,88,-20.94,55.29,73.4,12.75
328,Santana do Acaraú,97,BR,1587698211,92,-3.46,-40.21,74.35,1.21
329,Wanlaweyn,100,SO,1587698212,84,2.62,44.89,76.96,10.09
330,Iracoubo,80,GF,1587698212,82,5.48,-53.2,78.46,11.48
331,Lavrentiya,14,RU,1587698212,94,65.58,-171.0,30.04,8.59
332,Indramayu,98,ID,1587698212,66,-6.33,108.32,86.29,8.61
333,Jinchang,93,CN,1587698212,15,38.5,102.17,53.06,2.33
334,Luís Correia,100,BR,1587698212,90,-2.88,-41.67,76.23,2.62
335,Lismore,8,AU,1587698212,39,-28.81,153.28,82.99,13.87
336,Nouadhibou,0,MR,1587698016,88,20.93,-17.03,62.6,11.41
337,Chumikan,100,RU,1587698213,92,54.72,135.31,33.08,3.44
338,Laguna,1,US,1587698213,24,38.42,-121.42,79.0,4.7
339,Safi,68,MA,1587698213,83,32.3,-9.24,62.49,5.57
340,Lac du Bonnet,22,CA,1587698214,65,50.25,-96.06,42.01,6.13
341,Aragarças,59,BR,1587698214,82,-15.9,-52.25,70.88,1.72
342,Northam,12,GB,1587698214,88,51.03,-4.22,46.99,1.01
343,Turbat,1,PK,1587698214,35,26.0,63.04,82.15,3.27
344,Letlhakane,0,BW,1587698214,45,-21.42,25.58,57.94,8.68
345,Asău,33,RO,1587698214,56,46.43,26.4,42.01,3.69
346,Kasongo,94,CD,1587698214,83,-4.45,26.67,68.43,2.42
347,Torbay,90,CA,1587698215,74,47.67,-52.73,35.01,16.11
348,Moose Factory,1,CA,1587698215,78,51.26,-80.61,8.6,4.7
349,Kupang,94,ID,1587698215,65,-10.17,123.58,86.47,18.48
350,Berlevåg,100,NO,1587698078,95,70.86,29.09,28.51,30.02
351,Kriel,0,ZA,1587698215,46,-26.27,29.23,51.69,2.91
352,Avera,90,US,1587698215,91,33.19,-82.53,62.6,4.7
353,Ponnāni,75,IN,1587698216,78,10.77,75.93,82.4,5.82
354,Omboué,99,GA,1587698066,89,-1.57,9.26,78.28,4.94
355,Taoudenni,0,ML,1587698216,13,22.68,-3.98,84.61,7.72
356,Tello,73,CO,1587698216,53,3.07,-75.14,72.9,3.91
357,Mount Isa,0,AU,1587698216,15,-20.73,139.5,93.2,8.05
358,Iralaya,55,HN,1587698216,83,15.0,-83.23,78.76,10.56
359,Daru,4,PG,1587698216,74,-9.08,143.21,83.91,12.64
360,Rawson,97,AR,1587698216,70,-43.3,-65.1,61.18,11.79
361,Marau,11,BR,1587698217,61,-28.45,-52.2,58.46,5.39
362,College,75,US,1587698132,38,64.86,-147.8,43.0,6.93
363,São Gabriel da Cachoeira,85,BR,1587698217,88,-0.13,-67.09,74.32,1.39
364,Grand Gaube,14,MU,1587698217,89,-20.01,57.66,75.99,8.99
365,Muriwai Beach,0,NZ,1587698217,59,-36.82,174.45,72.0,11.12
366,Cabra,100,ES,1587698217,78,37.47,-4.44,55.99,3.33
367,Bolnisi,90,GE,1587698217,87,41.45,44.54,42.8,5.82
368,Grahamstown,99,ZA,1587698217,95,-33.3,26.53,63.0,3.0
